;Name;Price
93;HP Omen 17\-cb1015nw 17,3\'\' 144Hz Intel® Core™ i7\-10750H \- 16GB RAM \- 512GB Dysk \- RTX2070S Grafika;7499.00
94;"HP 15s\-eq0069nw 15,6\"" AMD Ryzen 7 3700U \- 8GB RAM \- 512GB Dysk \- Win10";3199.00
95;"ASUS ZenBook S UX393EA\-HK022T 13,9\"" Intel® Core™ i7\-1165G7 \- 16GB RAM \- 1TB SSD Dysk \- Win10";6999.00
96;"Lenovo IdeaPad Gaming 3 15ARH05 15,6\"" 120Hz AMD Ryzen 5 4600H \- 16GB RAM \- 512GB Dysk \- GTX1650Ti Grafika \- Win10";4099.00
97;"Acer Aspire 7 A715\-75G\-52MV 15,6\"" Intel® Core™ i5\-9300H \- 8GB RAM \- 512GB Dysk \- GTX1650Ti Grafika";3699.00
98;ASUS VivoBook Flip 14 TM420IA\-EC117T 14\'\' AMD Ryzen 3 4300U \- 8GB RAM \- 256GB Dysk \- Win10S;3299.00
99;"Lenovo Legion 5 17IMH05 17,3\"" 144Hz Intel® Core™ i5\-10300H \- 16GB RAM \- 512GB Dysk \- GTX1650Ti Grafika";4649.00
100;"MSI GE66 Raider 10SGS\-272PL 15,6\"" 240Hz Intel® Core™ i7\-10875H \- 16GB RAM \- 1TB SSD Dysk \- RTX2080SMQ Grafika \- Win10";10999.00
101;"Lenovo Legion Y540\-15IRH 15,6\"" Intel® Core™ i5\-9300HF \- 8GB RAM \- 512GB Dysk \- GTX1660Ti Grafika";3699.00
102;"Lenovo IdeaPad Flex 5 14ARE05 14\"" AMD Ryzen 7 4700U \- 16GB RAM \- 512GB Dysk \- Win10";4199.00
103;"ASUS VivoBook S14 M433IA\-EB082T 14\"" AMD Ryzen 5 4500U \- 16GB RAM \- 512GB Dysk \- Win10";3699.00
104;HP Envy x360 15\-ee0025nn 15,6\'\' AMD Ryzen 7 4700U \- 16GB RAM \- 512GB Dysk \- Win10;4799.00
105;"Lenovo Legion 5 15IMH05H 15,6\"" 144Hz Intel® Core™ i5\-10300H \- 16GB RAM \- 512GB Dysk \- GTX1650Ti Grafika \- Win10";4449.00
106;"Apple Macbook Air M1 13,3\"" Apple M1 \- 8GB RAM \- 512GB Dysk \- macOS (złoty)";6799.00
107;"ASUS TUF Dash F15 FX516PR\-AZ019T 15,6\"" 240Hz Intel® Core™ i7\-11370H \- 16GB RAM \- 1TB SSD Dysk \- RTX3070 Grafika \- Win10";8499.00
108;"Lenovo Legion 5 15IMH05 15,6\"" 120Hz Intel® Core™ i5\-10300H \- 16GB RAM \- 512GB Dysk \- GTX1650 Grafika";3499.00
109;"ASUS ROG Strix G17 G713QR\-HG025T 17,3\"" 300Hz AMD Ryzen 7 5800H \- 16GB RAM \- 512GB Dysk \- RTX3070 Grafika \- Win10";9799.00
110;"MSI GF75 Thin 10SDR\-481PL 17,3\"" 144Hz Intel® Core™ i5\-10300H \- 8GB RAM \- 512GB Dysk \- GTX1660Ti Grafika \- Win10";5299.00
111;"ASUS TUF Gaming F15 FX506LI\-HN039T 15,6\"" 144Hz Intel® Core™ i5\-10300H \- 8GB RAM \- 512GB Dysk \- GTX1650Ti Grafika \- Win10";4399.00
112;"ASUS ROG Strix SCAR 17 G732LXS\-HG050 17,3\"" 300Hz Intel® Core™ i7\-10875H \- 32GB RAM \- 512GB Dysk \- RTX2080S Grafika";9499.00
113;"Acer Nitro 5 AN515\-44\-R0RF 15,6\"" 144Hz AMD Ryzen 5 4600H \- 16GB RAM \- 512GB Dysk \- GTX1650Ti Grafika";4199.00
114;"Huawei MateBook X 2020 13\"" Intel® Core™ i5\-10210U \- 16GB RAM \- 512GB Dysk \- Win10";4999.00
115;ASUS ZenBook 14 UM425IA\-HM067T 14\'\' AMD Ryzen 5 4500U \- 16GB RAM \- 512GB Dysk \- Win10;4299.00
116;"MSI GS66 Stealth 10SGS\-024PL 15,6\""300Hz Intel® Core™ i9\-10980HK \- 32GB RAM \- 2TB SSD Dysk \- RTX2080SMQ Grafika \- Win10 Pro";16999.00
117;"MSI GF63 Thin 10SCSR\-854XPL 15,6\"" 144Hz Intel® Core™ i7\-10750H \- 8GB RAM \- 512GB Dysk \- GTX1650Ti Max\-Q Grafika";4999.00
118;"HP Pavilion 16\-a0030nw 16,1\"" Intel® Core™ i5\-10300H \- 8GB RAM \- 512GB Dysk \- GTX1650Ti Grafika";3999.00
119;"MSI Modern 14 B10MW\-037PL 14\"" Intel® Core™ i7\-10510U \- 16GB RAM \- 512GB Dysk \- Win10";4499.00
120;"Acer ConceptD 9 CN917\-71\-97CT 17,3\""  Intel® Core™ i9\-9980HK \- 32GB RAM \- 2TB SSD Dysk \- RTX5000 Grafika \- W10 Pro";29999.00
121;"ASUS ZenBook Flip 13 UX363JA\-EM005T 13,3\"" Intel® Core™ i5\-1035G1 \- 8GB RAM \- 512GB Dysk \- Win10";4199.00
122;"Lenovo IdeaPad Flex 5 14\"" AMD Ryzen 3 4300U \- 8GB RAM \- 256GB Dysk \- Win10";3499.00
123;"ASUS ROG Strix SCAR 15 G533QR\-HQ005 15,6\"" 165Hz AMD Ryzen 7 5800H \- 16GB RAM \- 1TB SSD Dysk \- RTX3070 Grafika";9999.00
124;"HP OMEN 15\-en0024nw 15,6\"" 144Hz AMD Ryzen 7 4800H \- 16GB RAM \- 512GB Dysk \- RTX2060 Grafika";6199.00
125;"Lenovo Legion 5 15ARH05H 15,6\"" 120Hz AMD Ryzen 7 4800H \- 8GB RAM \- 512GB Dysk \- GTX1660Ti Grafika";3999.00
126;"HP OMEN 15\-en0029nw 15,6\"" AMD Ryzen 5 4600H \- 8GB RAM \- 256GB Dysk \- GTX1650Ti Grafika";4299.00
127;"HP Envy x360 15\-ed0010nw 15,6\"" Intel® Core™ i5\-1035G1 \- 8GB RAM \- 512GB Dysk \- Win10";4399.00
128;"HP OMEN 15\-en0026nw 15,6\"" AMD Ryzen 5 4600H \- 8GB RAM \- 512GB Dysk \- GTX1660Ti Grafika";4799.00
129;"MSI GP75 Leopard 10SFSK\-605PL 17,3\""144Hz Intel® Core™ i7\-10750H \- 16GB RAM \- 1TB SSD Dysk \- RTX2070S Grafika \- Win10";8599.00
130;"ASUS ROG Strix G17 G712LV\-EV045 17,3\"" 144Hz Intel® Core™ i7\-10875H \- 16GB RAM \- 512GB Dysk \- RTX2060 Grafika";6999.00
131;"Microsoft Surface Laptop Go 12,4\"" Intel® Core™ i5\-1035G1 \- 8GB RAM \- 256GB Dysk \- Win10 (platynowy)";3699.00
132;"Lenovo IdeaPad Flex 5 15IIL05 15,6\"" Intel® Core™ i3\-1005G1 \- 8GB RAM \- 256GB Dysk \- Win10S";3199.00
133;"Acer Nitro 5 15,6\""120Hz Intel® Core™ i5\-9300H \- 8GB RAM \- 512GB Dysk \- RTX2060 Grafika \- Win10";4899.00
134;"ASUS ROG Zephyrus G14 GA401IV\-HE007T 14\"" 120Hz AMD Ryzen 7 4800HS \- 16GB RAM \- 1TB SSD Dysk \- RTX2060 Grafika \- Win10";7499.00
135;"Lenovo V14\-ADA 14\"" AMD Ryzen 3 3250U 8GB RAM \- 256GB Dysk \- Win10";2799.00
136;"ASUS VivoBook S14 S433EA\-EB130 14\"" Intel® Core™ i7\-1165G7 \- 16GB RAM \- 512GB Dysk";4399.00
137;"ASUS TUF Dash F15 FX516PR\-AZ024 15,6\"" 240Hz Intel® Core™ i7\-11370H \- 16GB RAM \- 1TB SSD Dysk \- RTX3070 Grafika\t";8099.00
138;"MSI Prestige 14 Evo A11M\-018PL 14\"" Intel® Core™ i5\-1135G7 \- 16GB RAM \- 512GB Dysk \- Win10";4299.00
139;"Apple Macbook Pro 13 2020 z Touch Bar 13,3\"" Intel® Core™ i5 \- 16GB RAM \- 512GB Dysk \- macOS (srebrny)";8499.00
140;"Lenovo Yoga S940\-14IIL 14\"" Intel® Core™ i5\-1035G4 \- 8GB RAM \- 512GB Dysk \- Win10";6999.00
141;"ASUS VivoBook S14 M433IA\-EB056 14\"" AMD Ryzen 7 4700U \- 16GB RAM \- 512GB Dysk";3499.00
142;"Lenovo Legion 5 15ARH05 15,6\"" 120Hz AMD Ryzen 5 4600H \- 16GB RAM \- 512GB Dysk \- GTX1650Ti Grafika";3799.00
143;Dell Inspiron 5401\-9046 14\'\' Intel® Core™ i7\-1065G7 \- 8GB RAM \- 1TB SSD Dysk \- MX330 Grafika \- Win10;4999.00
144;"Lenovo ThinkBook 14 IIL 14\"" Intel® Core™ i5\-1035G1 \- 8GB RAM \- 256GB Dysk";3349.00
145;"MSI Modern 14 B10MW\-246PL 14\"" Intel® Core™ i5\-10210U \- 8GB RAM \- 512GB Dysk \- Win10";4199.00
146;"MSI Prestige 14 A10SC\-215PL 14\"" Intel® Core™ i5\-10210U \- 16GB RAM \- 512GB Dysk \- GTX1650 Max\-Q Grafika \- Win10";6199.00
147;"HP OMEN 15\-en0009nw 15,6\"" 144Hz AMD Ryzen 5 4600H \- 16GB RAM \- 512GB Dysk \- GTX1660Ti Grafika";5599.00
148;HP Omen 15\-ek0041nw 15,6\'\' 300Hz Intel® Core™ i5\-10300H \- 16GB RAM \- 512GB Dysk \- RTX2060 Grafika;5799.00
149;"Lenovo IdeaPad Gaming 3 15ARH05 15,6\"" AMD Ryzen 5 4600H \- 8GB RAM \- 512GB Dysk \- GTX1650Ti Grafika \- Win10";3799.00
150;"HP Pavilion Gaming 15\-dk1046nw 15,6\"" Intel® Core™ i5\-10300H \- 8GB RAM \- 512GB Dysk \- GTX1660TiMQ Grafika \- Win10";4699.00
151;"HP OMEN 15\-en0027nw 15,6\"" AMD Ryzen 5 4600H \- 16GB RAM \- 512GB Dysk \- GTX1650Ti Grafika";4499.00
152;"Acer Nitro 5 AN515\-55\-53M3 15,6\""144Hz Intel® Core™ i5\-10300H \- 16GB RAM \- 512GB SSD Dysk \- RTX2060 Grafika \- Win10";5499.00
153;"HP OMEN 15\-en0001nw 15,6\"" 144Hz AMD Ryzen 5 4600H \- 8GB RAM \- 512GB Dysk \- GTX1660Ti Grafika \- Win10";5499.00
154;"Apple Macbook Pro 13 2020 z Touch Bar 13,3\"" Intel® Core™ i5 \- 16GB RAM \- 1TB SSD Dysk \- macOS (srebrny)";8999.00
155;"ASUS TUF Dash F15FX516PR\-AZ024T 15,6\"" 240Hz Intel® Core™ i7\-11370H \- 16GB RAM \- 1TB SSD Dysk \- RTX3070 Grafika \- Win10";8499.00
156;"ASUS ROG Zephyrus S17 GX701LXS\-HG022T 17,3\"" 300Hz Intel® Core™ i7\-10750H \- 32GB RAM \-1TB SSD Dysk \- RTX2080S Grafika \- W10";11999.00
157;"Dell Latitude 3510 15,6\"" Intel® Core™ i3\-10110U \- 8GB RAM \- 256GB Dysk \- Win10 Pro";3549.00
